epoch,train/acc,train/base_lr,train/coco/bbox_mAP,train/coco/bbox_mAP_50,train/coco/bbox_mAP_75,train/coco/bbox_mAP_l,train/coco/bbox_mAP_m,train/coco/bbox_mAP_s,train/data_time,train/loss,train/loss_bbox,train/loss_cls,train/loss_rpn_bbox,train/loss_rpn_cls,train/lr,train/memory,train/time,val/acc,val/base_lr,val/coco/bbox_mAP,val/coco/bbox_mAP_50,val/coco/bbox_mAP_75,val/coco/bbox_mAP_l,val/coco/bbox_mAP_m,val/coco/bbox_mAP_s,val/data_time,val/iter,val/loss,val/loss_bbox,val/loss_cls,val/loss_rpn_bbox,val/loss_rpn_cls,val/lr,val/memory,val/step,val/time,test/coco_bbox_mAP,test/coco_bbox_mAP_50,test/coco_bbox_mAP_75,test/coco_bbox_mAP_l,test/coco_bbox_mAP_m,test/coco_bbox_mAP_s
,,,,,,,,,,,,,,,,,,,,0.437000,0.655000,0.540000,0.700000,0.708000,0.409000,0.002282,,,,,,,,,5.000000,0.037583,,,,,,
,,,,,,,,,,,,,,,,,,,,0.459000,0.654000,0.569000,0.900000,0.733000,0.428000,0.002179,,,,,,,,,6.000000,0.036857,,,,,,
,,,,,,,,,,,,,,,,,,,,0.481000,0.667000,0.578000,0.800000,0.729000,0.453000,0.002205,,,,,,,,,7.000000,0.036854,,,,,,
,,,,,,,,,,,,,,,,,,,,0.465000,0.647000,0.555000,0.800000,0.767000,0.434000,0.002276,,,,,,,,,8.000000,0.036600,,,,,,
,,,,,,,,,,,,,,,,,,,,0.452000,0.638000,0.565000,0.700000,0.765000,0.421000,0.002217,,,,,,,,,9.000000,0.036760,,,,,,
,,,,,,,,,,,,,,,,,,,,0.447000,0.658000,0.561000,0.600000,0.710000,0.420000,0.002198,,,,,,,,,10.000000,0.037618,,,,,,
,,,,,,,,,,,,,,,,,,,,0.444000,0.618000,0.537000,0.700000,0.762000,0.410000,0.002276,,,,,,,,,11.000000,0.037115,,,,,,
,,,,,,,,,,,,,,,,,,,,0.471000,0.663000,0.578000,0.800000,0.761000,0.441000,0.002195,,,,,,,,,12.000000,0.036955,,,,,,
,,,,,,,,,,,,,,,,,,,,0.471000,0.671000,0.579000,0.800000,0.748000,0.443000,0.002275,,,,,,,,,13.000000,0.037106,,,,,,
,,,,,,,,,,,,,,,,,,,,0.479000,0.653000,0.597000,0.800000,0.749000,0.449000,0.002222,,,,,,,,,14.000000,0.036939,,,,,,
,,,,,,,,,,,,,,,,,,,,0.473000,0.678000,0.569000,0.900000,0.772000,0.441000,0.002271,,,,,,,,,15.000000,0.037384,,,,,,
,,,,,,,,,,,,,,,,,,,,0.455000,0.626000,0.554000,1.000000,0.752000,0.423000,0.002248,,,,,,,,,16.000000,0.036675,,,,,,
,,,,,,,,,,,,,,,,,,,,0.468000,0.638000,0.589000,0.800000,0.796000,0.433000,0.002271,,,,,,,,,17.000000,0.036864,,,,,,
,,,,,,,,,,,,,,,,,,,,0.476000,0.655000,0.588000,0.800000,0.744000,0.449000,0.002255,,,,,,,,,18.000000,0.036650,,,,,,
